,comment
7283,also the feature that garmin lack are made up by the smartphone you likely already have best of both world
7284,where are galaxy watch
7285,ga dam
7286,good review i turned off the always on display on my series 7 and it usually get 48 hour of life if they made a smaller version of the ultra i would probably get it for now it is too big
7287,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7288,wish they made something with a bigger diagonal but thinner
7289,tha bigger size is what i like haha to each their own
7290,same here
7291,only a minute in but your battery life surely wa extended by your use of theater mode and funny enough i am sure how many notification your watch buzz for drastically change battery life no friend great battery lol
7292,iphone ultra loading
7293,these intro keep getting better and better damn
7294,the editor snapped on this
7295,i have a pretty chronic case of range anxiety bigger battery always better i do not dive not really climbing everest today imagine that activity reminder you still have an hour to close your everest ring i am sold on battery alone
7296,marque you are the best
7297,can not wait for mine to come friday
7298,an ultra watch need to have atleast 2 week of battery it also need to support cycling sensor metric apart from swimming and running so this is not an ultra watch at all
7299,samsung named the newest galaxy watch a pro so apple took the ultra name
7300,link to podcast
7301,my series 4 is still kicking i think i will wait until apple update the ultra with a black color way and then consider upgrading
7302,100m of water resistance doe not mean it can get anywhere near those depth it is just a measurement of pressure which is equivalent to 10atm which is about half of the minimum spec for a watch to be considered dive capable you do not want to take a 100m wr watch diving
7303,dynamic pressure are almost zero when swimming or diving if the watch can take static pressure of 100m then it is fine for 40m which is what the apple advert show
7304,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7305,espressomatic 100m of water resistance get you down to the bottom of a swimming pool if you are careful the 100m ha nothing to do with the actual depth that the watch is capable of achieving i would be surprised if that thing with all the moving part and ceramic glass case back could get anywhere near the depth they advertise but no no serious diver will spend dollar800 on a gimmick
7306,you can not even jump into a pool with a 100m watch because the pressure of impact with the surface is way higher
7307,rec diving is down to 130 foot 39 6m or otherwise le than half of 100m apple is advertisement and software feature are for dive down to 40m is still deeper than 90percent of diver are ever going to go this thing is going to be huge in the diving world
7308,lol an ultra watch next will be ultra sock and uw
7309,i wonder if debrand will offer skin for the watch to make it black camouflaged etc
7310,excellent a always
7311,nothing like my 40mm series 6 this is just too big i am good thanks
7312,69percent nice
7313,i havent tried disc sport but 192 bpm in disk sport
7314,quality content
7315,dw ultra max soon come
7316,you have missed out people who work in construction like me a more rugged apple watch with a bigger battery is hugely useful to me which is why i ordered one
7317,z j should live in the uk
7318,robsa walker i agree tradesman make serious money this day and age especially skilled tradesman
7319,there are a lot of comment on here from people who seem to not understand that there are lot of people who are on site who work trade and make good money do you need an aw no do you need a rolex no do you need a bmw instead of a dacia no but weirdly some people own all these thing so weird i wonder why
7320,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7321,his noodly appendage when up a 20 foot ladder being able to take a call make a call or take a text or send a text hand free is priceless a casio only tell the time the aluminum case get wasted by sweat sand grit off grinding disc etc the titanium is much more rugged and the rounded bezel of the regular watch is a liability when in construction
7322,i have been waiting for a watch that can last a weekend away on the lake
7323,a big nah
7324,that beat fuckin knock
7325,i would rather spend a little more and get a good mechanical watch instead
7326,diver wont like this xd up to 100 meter most diver wont even use a seiko dive watch that go up to 200
7327,nah
7328,garmin gt everything else
7329,now mkbhd ha given some point for apple to take note make it like a casio watch infinite battery and tapered edge anyway this watch is too much for me
7330,holy shit the intro is do not stop getting better mad prop to the studio
7331,doe not feel like there is any new sound alert notification noise with the ultra surely it is time for some sound update right
7332,omg i love this video
7333,what i really like is that i am an european that said i am very happy to pay 1000euros on a stupid watch that is not that different from a normal apple watch thanks eu and apple
7334,i had to rewatch the intro so bloody siccck
7335,0 17 you are welcome
7336,0 10 my reaction exactly it look so good
7337,i wa hoping someone else heard that lmao
7338,can i just say the box on the video background idea with the box to fit with the rugged look of the watch is smart just that tiny detail make sense
7339,in my opinion it just plain ugly if they made the ultra a attractive a the series 8 keeping with the same titanium build i would buy it that orange action button and crown that only come in that color will be a big turn off for a lot of people apple is famous for this though they give u what we ask for with a catch and it annoyed me since the original iphone not to mention the band are ugly too we also are not given a lot of option no hermes or metal band it is just not for me i will wait to see what they do with it next year
7340,that is ultra expensive
7341,yoo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7342,goofy ahh joke
7343,where is the link
7344,i do not know anything about smart watch and their usual battery life but what you said in the intro about this one is battery life sounded pretty damn impressive
7345,doe dirt get into the crevice where the crown is how easy is it to clean
7346,i can literally pause the video and say no it is not worth the price doe not matter what kind of review you give it that watch is not worth the price
7347,still waiting for airpods pro review
7348,my fossil smartwatch last roughly 4 hour unless i turn off everything useful then it will make it 8 hour it stay in my watch box now
7349,i wa gon na watch the podcast but it wa not in fact below the like button
7350,he will nah man
7351,dollar800 for watch and you are asking if it is worth it
7352,dang
7353,course it not worth 800
7354,i have the series 5 and have no issue with it except for battery life despite the price i will be getting the ultra exclusively for the battery the waypoint feature will be fun for geocaching but realistically i do that twice a year maybe battery life is critical for me though
7355,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7356,bruh the watch is 800 dollar you can legit get the iphone 14 with dat money
7357,brainwashed
7358,i have the series 5 and got it when it came out and the battery doe not last a long i am glad i pay the dollar 4 00 a month for applecare plus so when i have time i will take it to the apple store due to battery but still a good watch
7359,same battery life wa a huge yes for me
7360,that glance and catch wa sick wtf
7361,the apple watch series 7 came in black titanium and did not scratch so it could have totally been done weird choice by apple not to introduce a black titanium variant
7362,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7363,and cost 99 99 more for the privilege
7364,it is gon na be black next year dollar bet
7365,i feel like marque channel would be one that is in a great position to create multilingual content like mr beast i do not speak spanish but i am sure there are million of spanish speaker who would love to hear what he ha to say
7366,can not wait for the pro max ultra plus
7367,best intro by far
7368,great video i have to say i really like the naming for this a the usual pro name doe not really mean anything at this point apart from having the top feature you are not actually a pro user during this video you said extreme many time which i think can be easily replaced with the word ultra it ha a set of feature for those who will actually take it to it limit
7369,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7370,waste of money
7371,waste of money
7372,do you always wear your watch on the right wrist
7373,i got the apple watch series 4 and i am unhappy with the battery life on it but other than that it doe a an apple watch should it is not the best one in the lot but i am not interested in paying more then 100 dollar for a watch that is just me
7374,this is no where near worth 800 dollar
7375,those intro never feel bored hat off to the mkbhd editor
7376,hashtag aroma what did u meant by boring
7377,boring
7378,squirky he doe
7379,hamad he made boring video very attractive
7380,marque you are awesome thanks for your analysis
7381,honestly i am just gon na stick with my garmin
7382,i am thinking of buying it but my condition is like i do work under hard marine environment so the roughness of it is what matter the most for it gon na look for more destructives test to decide if it worth getting or not
7383,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7384,scratch at mo scale 6 so that is sediment sand anodised metal etc
7385,why do i feel like even dollar1b for this would be a great value it just too good
7386,ultra watch upgrade do not target professional activity if you call it pro it may create the wrong impression about it purpose
7387,apple watch ultra pro max will cover your entire hand
7388,i have got a dive computer rrp gbp700 it is a huge display but i only use it when i am diving this watch might be interesting to use for recreational diving i am not switching a my computer is synced with my air integrated system and i got my computer for half that price
7389,l szl fekete would be cool to try but a someone mentioned do not know much about longevity of the watch my computer is very reliable thou it is the suunto eon steel but got it second hand for gbp300
7390,mel gross i have not yet gone past 100ft but i want to get more confident before i explore deeper depth
7391,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7392,i just wonder if the ultra will be good for diving in 5 10 year still id hate to use it when it get old and it break under the pressure and i can not see my depth and time
7393,it will be interesting if oceanic is really worth the 80dollar yr subscription for scuba diving there is a reason why garmin made the dive mode separate to other activity on the descent series rather than just another app
7394,this watch thickkkkk bruhh
7395,top
7396,i love the design and how big it is yet still light weight
7397,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7398,8 57 the only audio editing mistake weird cut i have ever seen on the channel great video otherwise
7399,dbrand need some skin for it
7400,wonder what sort of watch other company will make to compete with this
7401,there is one pro market that garmin is dominating and i do not see the apple watch ultra taking over military the ruggedness concern is more the need for at least 1 week is there the need for it to run completely independently or anonymously aka kill all wireless sensor also in some scenario we just are not to have any smart watch even garmin but i will admit i am really tempted and want to see if there any review that cover this usage
7402,just like 10k desktop not for me or 90percent of people in this comment section
7403,gaaadaamn
7404,what if apple is planing to launch apple watch pro next year at 599 right between series 9 at 399 and ultra at 799
7405,the intro is fire
7406,i am sure this ha been asked countless of time but what happened with the scar on his right hand
7407,why are you comparing battery life from a black and white casio watch to basically an iphone on your wrist
7408,a a guy with tiny wrist i really wish they made a smaller version of this thing
7409,nice
7410,hey can u put the band of the ultra on the normal apple watch 8
7411,always remember it is pool proof not salt proof aka salt water
7412,the action button is definitely what action man had on his watch i can definitely see where apple got their inspiration
7413,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7414,2 day battery on a watch and it get a pretty good from mkbhd damn what will my smart watch with 50 day batter backup get only if it had a apple logo somewhere on it p a watch with le than 10 day battery backup is useless for me any trip or outside activity i plan i have to consider charging a silly watch that is too much pain in the a for me
7415,make apple watch series from starting
7416,1059euros in europe not worth it
7417,apple watch ultra 2 incoming
7418,lmao he said 69 which refrences to the sex position xd
7419,marque i am sure if you contacted dbrand they would make a black skin for the watch i am not sure how durable it would be but i am sure they would do it also i love the look of this apple watch i am an android guy and currently have a samsung watch 4 classic when i saw this ultra model i really wanted it until i found out apple watch are not compatible with android phone
7420,what an intro omg
7421,best watch out today android user can only dream of something like this
7422,damn no wonder he is so fit also i only go to my kitchen and eat food so i do not think i need this
7423,little stick people for reference nice
7424,great vid they are getting into the garmin space woulda been great to see more comparison
7425,exactly you are getting all the feature with more than double the battery life a well a some of the smart watch feature
7426,would be sick to see him do a comparison between this and the fenix 7x he will then see what good battery life is
7427,pretty soon wealthy people will be buying an apple watch instead of a rolex to show off their wealth
7428,it is not rated for 100m depth but rather for 40m the 100m is for static pressure air integration is the same thing a tank pressure monitoring i believe apple watch ultra doe not have this
7429,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7430,i can guarantee you that if you place the apple watch in a tank 99 meter deep you can take it out an hour later and the watch will be fine 40m is the dive rating for all the dive feature and the dive software at 131 foot it is also at the recreational diving limit
7431,it is still mind blowing to think that apple would actually make a watch that is without a doubt an overkill and is way above the competition with consideration from athlete diver explorer etc but yet make their pro phone still have a lightning port
7432,i do not think serious diver will use this since it doe not have the tech to monitor oxygen level in your tank
7433,actually i will never buy a apple watch i like my tech to be longlasting and aesthetically pleasing i would rather spend it on a dumb watch looking just fine since my main use case is showing the time and being an aesthetical accessory there are really nice looking watch out of the town glashuette which are mostly not that big chungus style watch i do have to say i like feature like general heartbeat tracking sleep tracking and step but more like from a long term perspective did i sleep much le the last 3 month like in summer i can observe that my sleep is quite shorter then in winter a well i do not want to charge the watch daily i like to just wear it and forget about it which is why i turned the notification off still the best smart watch is for me the withings i just have the steel hr maybe would upgrade to an scanwatch but pretty surely will get a really nice looking mechanical watch before
7434,no live size comparison at all
7435,what happened to the camera quality
7436,this is not a regular review it is a ultra review
7437,mkbhd ultra
7438,mkbhd eagerly waiting for your moto edge 30 ultra review hope you will cover it
7439,how is the orange band
7440,despite apple is effort to market this to the niche user it will still be used by people trying to flex everywhere just like the air pod max
7441,keep up the great review yours are excellent
7442,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7443,by turning of the most notification i get almost the same batterylife with my old watch 6 sad about this one only produced in silver
7444,for the price it is still missing solar charging if they are trying to target the outdoor adventurer it need solar charging like the garmin watch and other competitor in the market
7445,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7446,ultra look cool but autonomy is extra low in compare to real sport watch like garmins
7447,or you can get an omega watch that will last you a lifetime really great opening btw
7448,they need a big face watch
7449,00 00 watch on right hand 00 05 watch on left hand 00 13 watch on right hand 00 17 watch on left hand 00 23 watch on right hand
7450,ok that low battery sound at 1 11 really got me i wa like damn did not i just charge my earphone last night
7451,everything about this watch is decent ngl
7452,i wa not going to get this but with it priced the same a the stainless steel i just might but definitely need to see put it on in person to see how it feel great video a always
7453,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7454,do you have an apple watch
7455,apple leaker a it should
7456,just ordered mine on amazon but i do not think it will be with me till late october maybe even early november but my current series 6 will do the job till then
7457,it is actually cheaper than the stainless steel cellular apple watch series 8 and all ultra model come with cellular built in for no extra charge
7458,i work in construction style environment so definitely looking forward to something more durable got ta try it
7459,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7460,come on marque stop flexing your forearm damnit
7461,that unboxing experience though
7462,cough cough wait hold my garmin i mean my beer
7463,this ultra rugged ultra outdoor capable dollar800 watch will be bought by men in their 20 40 who drive to their office cubicle and do not do any physical activity at all
7464,i am sorry but the watch ultra is obnoxiously big even next to marque giant hand it look too big
7465,remember the day when we could get a maxed out iphone at dollar800
7466,inflation
7467,i bought a series 7 new for dollar329 a few week ago and i love it no regret but the ultra look amazing i have no purpose for one though
7468,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7469,i bought a cellour series 7 45mm for gbp460 when i saw the series 8 i wa like what is the point paying 400gbp more on that
7470,me too i love the 7 but my husband got the ultra and is very excited about it
7471,toobalicious u can brag to ur friend that u have the apple watch ultra
7472,me too costco deal i thought about my use case and can not justify going ultra
7473,i want to like it and it work for most people but it is not the watch for people who do endurance sport that last 24 hour or do not want to have to charge their watch every couple day my coros vertix 2 watch ha not been charged since september 2 i have logged 27 hour of gps running during that time and it still ha 54percent battery life left the coros is also about dollar100 cheaper
7474,apple need to design a wireless battery adapter that connects to the watch while on your wrist during sleep to charge it then in the morning you dock the battery pack and let it charge back to full and then go about your day
7475,totaly biting off samsung ultra why not pro max lol
7476,got ta appreciate the lego bonsai tree in the background
7477,yoo marque u a lefty bro hahah
7478,i like this despite the fact it is pretty useless to a lazy boy like myself battery life still suck compared to say the entire amazfit series that go past 2 or more week on a charge while still being very useful to the vast majority of folk i hope apple get that in future version great review marque
7479,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7480,ano voldigoat that is the point in every good feature there is always a catch
7481,those are not very good smartwatches though partial smartwatches maybe no full fledged smartwatch so far ha more than two and now three day of actual battery life
7482,you do not make sense lmao
7483,if you do not use the feature why are you even buying a smart watch
7484,ultimate frisbee is the official physical training pt sport for officer of the u s navy civil engineer corp cec
7485,i stopped at dollar800 watch wtf
7486,i always like to get the highest spec of any device but this time no not the ultra beautiful looking series 8 is more than enough and is good to go
7487,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7488,okay big boi
7489,bruh clean that watch face puke
7490,69percent battery nice marque
7491,in my opinion the apple watch ultra is worth it for those who need it
7492,i can not even afford a macbook for school i would not want something like this
7493,smart rolex innit
7494,but why even bother get a garmin fenix last like 7 day with activity on give you all the same functionality and it meant to be for outdoor activies
7495,pretty pointless imo
7496,you should have really compared it to a garmin epix still doe not do enough but a good step forward for apple
7497,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7498,it worth it for dollar400
7499,imagine loosing it you will definitely get heartattack in your kidney
7500,nah black would have been dull imo
7501,just wen i am on a work break i see an mkbhd video notification what a time to be alive
7502,would not that thing make more sense if it wa landscape oriented it look bulky and uncomfortable to me
7503,it look amazing
7504,i came here for the apple watch uktra review
7505,i like the 2 1 aspect ratio
7506,the production of this video is insane holy
7507,intro
7508,800 is cheap a f compared to top watch brand like pp ap vc tho
7509,is his short a dongle taking off like a space ship where do you find such incredible graphic tee lol
7510,it is worth it for the people it is actually made for anyone else is kind of just a poser lol
7511,hell to the nein
7512,idgaf about tech but i am still entertained
7513,nope buy a watch that go up in price with time then byy a apple watch se with cover done
7514,see ya
7515,bro the editing the quality oh my god
7516,1000 euro in germany for a watch is a lot for me is a no go
7517,time me one free
7518,galaxy watch 5 pro is nicer
7519,0 09 god damn
7520,dollar800 is a big hell nah for a few distinct feature that are not polished yet
7521,man i need to burn those calorie no wonder you are so skinny
7522,ultra where the heck did they get that idea
7523,another iwatch that i do not need and wont have
7524,still not gon na upgrade my apple watch series 4 is still working fine
7525,e watch test
7526,if it were not so ugly and expensive i would be interested simply because of the battery life give me a non pro version with that battery apple
7527,change the title bro lmao
7528,man i wan na imagine what it take for a watch to replace your phone of course i wouldnt watch youtube on a watch but if it get to where i can just leave my phone at home and go outside for a stroll that would actually be dope
7529,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7530,you sorta can for like a stroll if you got the gps cellular model
7531,nice
7532,babe wake up marque just drop a video
7533,tbh this is a little fugly for something made by apple
7534,samsung and apple traded pro and ultra with each other this year iykyk
7535,you are still the best youtuber on the planet keep it up bruh
7536,yeah a 3 hour workout ai not gon na burn 2000 calorie that is like 80percent of a marathon buy garmin with a battery that can last over a month
7537,andr castro a 3 hour run can burn 2000 kcal yeah if you are way above average and can keep a relatively high running pace for 3 hour which very few can and do you think he is gon na do a 3 hour workout burning 2000 kcal midday being able to work afterwards and repeat the day after i am just saying that the watch appears to be highly inaccurate
7538,a 3hrs run can burn 2 000kcals easily if the person is a pro and run non stop i often run for 2hrs and my watch say i burn 1 300kcals on that
7539,metacarpal fracture
7540,1 11 i thought my airpods were dying lol
7541,the editing in this video is amazing
7542,perfect video while i am heading to the apple store
7543,been waiting for this
7544,apple please give u a pro model amp let u connect two iphones to one apple watch most professional i know have a business phone and personal this is the pro model right
7545,it is cool but too expensive
7546,i have a lot of 20syl and alltta music in my playlist and i always get excited when i hear one of their track in these video
7547,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7548,too bad i have stopped doing triathlons and recently got the series 8 and i got my garmin 945 with awesome battery life this is massive watch for my small wrist actually the normal series 8 is more wearable too
7549,i feel there is a limit to how smart a watch need to be i used to have an android based smart watch and the battery life wa poor now i have a garmin venu sq it doe all the fitness health tracking i need ha phone notification and medium control yet the battery last all week it is just the right amount of smart
7550,just a question are you also carrying your phone on you when you go out for a workout
7551,sick graphic and efx
7552,that intro wa
7553,nice surround sound in intro and amazing editing
7554,while i know i will never own this watch i will watch anything marque make always top tier content
7555,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7556,simp
7557,same
7558,can we stop calling this thing a watch it is not a watch one of the feature it ha is a watch it is a computer or whatever new word you want to make up
7559,me too
7560,love the way it look
7561,i am a watch guy for all the detail and feature yes but i would wait til the next gen
7562,u kidding right ya apart from bear grylls point of view straight away it not worth it for others period
7563,for 800dlls you can actually buy a really nice stainless steel watch that wont become ewaste in the next 4 year
7564,feel like the watch 5 pro is a better choice 90percent of the feature much better battery life and like half the price
7565,design look like from a caterpillar or some other construction company watch for hardcore worker
7566,i love the packaging
7567,the real question is can it beat the garmin fenix
7568,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7569,the apple watch doe not do recovery time via hrv which is disappointing so no it doe not beat the fenix fenix also doe solar charging and you get all the button with the ability to turn off the touchscreen in the 7 i would not call my fenix a true smart watch since the phone integration is not there but i would not call the apple watch a true adventure watch compared to my fenix 6 solar
7570,definitely not apple wa really trying their best to grab the attention of garmin user with this one and i think they juuuust missed the mark there is some feature that garmins have that an apple watch will not get probably for a while thing like ant and vo2 max but also garmin user want a sport watch first and a smartwatch second
7571,apple sapphire is not pure
7572,mel gross what are you talking about apple watch have shit ordinary glass just like this pseudo watch it never even stood next to real sapphire or titanium
7573,that thing ha all the apple watch upgrade i wanted it is just 200dollar too expensive
7574,it is the same price a always
7575,let is goo finally
7576,going full casey neistat on u with that visualization of apple watch user no fancy animation low on time or money
7577,marque steady making movie
7578,marque love from india
7579,not yet nvr the first iteration catch it next year nice looker though
7580,the bigger battery is nice but that thing look like too much of a chonker for my wrist
7581,yoo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7582,can we just get a regular one with better battery life
7583,i still do not get yet another device that ha to be charged every other day
7584,a watch that go to your phone that cost more than your phone
7585,bro why u hold the yoke like dat
7586,apple watch ultra fall in that small gray area that you keep mentioning something like gaming phone like 2 3 year ago or sony is latest alpha phone etc like for those with specific demand regarding a device
7587,maybe some day in the future or next year they will make a pro watch fro extra more money
7588,the apple watch ultra to be honest is an quite refined apple watch with it rectangular edge and that is why i adore the watch apart from the same previous design
7589,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7590,julian walnuss no the main reason people are liking the design is that people have different taste and there are ton of people who like a more rugged technical look better than a polished shiny look there are some people who will want it for the prestige of having the most expensive smartwatch from this brand but a lot of people just simply like how it look
7591,julian walnuss no you have missed it entirely that boxy look is precisely what some people are loving and it ha nothing to do with the branding apple is going to sell more ultra watch than other company will sell their entire product line
7592,julian walnuss this watch is not made for look tho
7593,to me it doe not look elegant anymore the silver housing look huge and boxy if this had been the first iteration of the apple watch everyone would have called it ugly the main reason people are liking the design is that it is now connected to the ultra branding and symbolizes high end tech and a high price
7594,this music give some nostalgia to f2 freestylers
7595,love from india
7596,that awkward hold on the tesla steering
7597,ruggedized elegance
7598,in india so costly
7599,hey marque
7600,never been so early on a mkbhd video always love your video this will probably be my first apple watch
7601,in germany this shit is 999euros
7602,20syl and mkbhd is always gon na be the best intro for sure
7603,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7604,thanks for the vid
7605,that scar on your hand look sick
7606,would have prefered the airpods pro 2 review emargo to lift instead but a mkbhd video about the watch is nice too let is hope for tomorrow for the airpods review
7607,the presentation of your video is impressive regular viewer from bangladesh
7608,buy me a macbook thanks
7609,i fall in between the apple watch and the apple watch ultra because of my rather heavy use and long workout it will be nice for an apple watch pro where it is in between both watch
7610,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7611,having worn sapphire crystal all my life the isapphire scratching at mohs scale 6 is a deal breaker for me i need a rugged watch for mountain biking like my fenix 6 i get two full week battery including weekend ride dual gps already and zero scratch on the screen after eighteen month
7612,gabriel freitas thank you
7613,karrdio that is great but it is meant to be much stronger than it is sapphire is an 8 on the mohs scale and should not be scratched by anything lower this new apple watch fails miserably at a 6
7614,with deeper groove at a level 7
7615,mohs
7616,i have the black stainless steel series 4 and there is not a single mark anywhere on it after four year my mom ha a regular aluminum series 5 and it is covered in surface wear micro scratch all over the screen i can not speak for how well it would hold up in heavy outdoors activity i am very much an inside person but for normal use the sapphire crystal is far more durable than the glass in the regular watch i have been looking at getting a new one maybe this year or next year but probably next year i still get two day out of my battery with my light use
7617,havent heard him use that intro song again in so long the song called voice by 20syl if u want to know
7618,nah
7619,love how sincere your review are not like trying to hype the whole thing up good one my friend
7620,stuck with this old one
7621,i have never witnessed such awesome editing a this one
7622,please make me famous
7623,why would you need a smart watch just look the time at your phone
7624,marque is definitely one of the greatest phone reviewer in the world from any perspective his explanation is always so accurate informative and on point
7625,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7626,having a whole team will do that
7627,max payne tech reviewer where is the watch 5 pro review
7628,one of the greatest tech reviewer not just phone lol
7629,i just noticed you wear the watch on your right hand
7630,your intro are amazing
7631,hai bro
7632,pin maybe
7633,please just stay to max wtf is ultra
7634,get your 1 hour trophy here
7635,nice
7636,no it is not worth dollar800 i saw an article that the dollar349 38mm apple watch sport cost dollar84 to make
7637,that subtle gah damn at the beginning
7638,love your video the way your holding your tesla wheel man that looked uncomfortable i know random lol
7639,there were about 205 comment on a 15 minute video that wa posted 4 minute ago when i typed this comment out f hell so many bot
7640,what caused the scar on the back of marque is hand
7641,3 10
7642,i know is not possible due to battery size but i wish there wa a smaller one
7643,popular opinion every single one of y all agrees marquee brownlee made our day much better
7644,the intro is always amazing
7645,5 minute 23k view dam my guy moving up in the world
7646,been waiting on this review got my ultra and airpods due friday
7647,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7648,this watch is the movie equivalent of you can watch this movie if you have some time to kill
7649,nah
7650,early
7651,69percent battery nice hahaha
7652,are you millionaire mkbhd yes
7653,apple watch toofan edition
7654,a watch
7655,ai not worth it like if you agree
7656,desantis should be brought to justice the irony that he is being investigated by a texas sheriff
7657,trump want to see biden in prison biden what make trump believe i would visit him in prison
7658,make a video on samsung watch 5 amp watch 5 pro
7659,man i hope the pixel watch come through i am tempted to switch to apple is walled garden
7660,considering comparable garmins are 2 3x the price absolutely build quality alone it is worth it
7661,petr peller you can get a fenix or an epix for under dollar1k they do way more for the active lifestyle since that is what they are specialized for either way most people considering these watch do not need either of them lol it is almost just a flex to look rich at this point very few people are so active that they would regularly use a bunch of the feature provided
7662,the epix 2 which is arguably the closest garmin competitor to the ultra and it is 999 exactly but that one also ha way more feature
7663,comparable garmin is descent mk2 which is about the same price
7664,since when do comparable garmins cost dollar2k
7665,uploaded 4 min ago and ha 18k view already woah
7666,hello
7667,bruh how are people already commenting on the quality of this video when it literally came out second ago
7668,nah
7669,i will get one on friday
7670,first
7671,this man ha a thousand like in 5 minute mad they are not even done watching
7672,999 euro in nl
7673,how is the tesla yoke working out for you
7674,dayum
7675,a an android user the watch look really cool along with it feature the thing is dollar800 for a watch feel kinda overkill that is just my opinion on it
7676,yo fam i am a small content creator and i make a variety of entertaining reaction vlogs and a range of other content and i am still working on quality but i guarantee you will find something you will enjoy
7677,t rtle well seeing a you can get a garmin which is more accurate for half the price would suggest it is in fact overpricex
7678,dr gaz matic literally none of them are apple silicon mac make every pc look funny iphones pro are by far the best flagship phone airpods are the best anc headset maybe you could make argument about apple tv or some other niche shit that nobody try to compare to anything lol
7679,simon tf are you talking about who the hell love or hate a brand please do not project your insecurity on people apple product are overpriced no one debate that
7680,dr gaz matic a lot of apple product are but not all the m1 macbook air and m1 mac mini for instance are far from overpriced and actually pretty good deal you just lose credibility when you let your love hate for a brand blind your judgement
7681,nah it is ugly a fack and to pay an overprice for a watch that will only work for 3 4 year it is kinda dumb
7682,69percent battery nice
7683,you were saying the watch looked too big or would be for your wrist and stuff earlier but really i do not think it look out of place at all
7684,you are telling like what i wanted to tell everyone
7685,it is crazy how you went from an iphone camera to a red camera and i did not see a quaility difference
7686,watch look like it wa ripped off from an iron man suit
7687,oooh nah
7688,i guess you have an inevitable relationship with 69percent battery in your life
7689,0 09 am i hearing right is that a subtle got damn
7690,the apple watch ultra is dollar50 le than the stainless steel version 45 mm apple watch series 8 here where i live so yes it is actually such a good deal where the apple watch ultra is currently priced
7691,itzmalick i would love to sub to your channel what is it is name
